排名,語言,語系,分支,母語 (L1) 人數,第二語 (L2) 人數,總人數 (L1+L2)
1,英語,印歐語系,日耳曼語族,372.9 million,1.080 billion[5],1.452 billion
2,官話,漢藏語系,漢語族,929.0 million,198.7 million[6],1.118 billion
,（包有標準官話，排丟中國方言）,,,,,
3,印地文,印歐語系,印度-雅利安語支,343.9 million,258.3 million[7],602.2 million
,（排丟烏都文）,,,,,
4,西班牙語,印歐語系,羅曼語族,474.7 million,73.6 million[8],548.3 million
5,法語,印歐語系,羅曼語族,79.9 million,194.2 million[9],274.1 million
6,標準阿拉伯語,亞非語系,閃語族,0[a],274.0 million[10],274.0 million
,（排丟方言）,,,,,
7,孟加拉語,印歐語系,印度-雅利安語支,233.7 million,39.0 million[11],272.7 million
8,俄語,印歐語系,波羅的-斯拉夫語族,154.0 million,104.1 million[12],258.2 million
9,葡萄牙語,印歐語系,羅曼語族,232.4 million,25.2 million[13],257.7 million
10,烏都語,印歐語系,印度-雅利安語支,70.2 million,161.0 million[14],231.3 million
,（排丟印地文）,,,,,
11,印尼語,南島語系,馬來-波利尼西亞語族,43.6 million,155.4 million[15],199.0 million
,（排丟馬來文）,,,,,
12,德語,印歐語系,日耳曼語族,75.6 million,59.1 million[16],134.6 million
13,日語,日琉語系,N/A,125.3 million,0.1 million[17],125.4 million
14,尼日利亞歸融語,英語歸融話,Krio,4.7 million,116.0 million[18],120.7 million
15,馬拉提語,印歐語系,印度-雅利安語支,83.1 million,16.0 million[19],99.1 million
16,泰盧固語,南印語系,中南部語族,82.7 million,13.0 million[20],95.7 million
17,土耳其語,突厥語系,烏古茲語支,82.2 million,5.9 million[21],88.1 million
20,越南語,南亞語系,越語族,84.6 million,0.7 million[24],85.3 million
18,淡米爾語,南印語系,南部語族,78.4 million,8.0 million[22],86.4 million
19,粵語,漢藏語系,漢語族,85.2 million,0.4 million[23],85.6 million
,（包有廣府話）,,,,,
21,他加祿語,南島語系,馬來-波利尼西亞語族,28.2 million,54.2 million[25],82.3 million
22,吳語,漢藏語系,漢語族,81.7 million,0.1 million[26],81.8 million
,（包有上海話）,,,,,
23,韓語,高麗語系,N/A,N/A,N/A[27],81.7 million
24,伊朗波斯語,印歐語系,伊朗語支,56.4 million,21.0 million[28],77.4 million
,（排丟達利文同塔吉克文）,,,,,
25,豪薩語,亞非語系,乍得語族,50.8 million,26.3 million[29],77.1 million
26,埃及阿拉伯語,亞非語系,閃語族,N/A,N/A[30],74.8 million
,（排丟其他阿拉伯文方言）,,,,,
27,斯華希里語,尼日爾-剛果語系,班圖語族,16.1 million,55.4 million[31],71.4 million
28,爪哇語,南島語系,馬來-波利尼西亞語族,N/A,N/A[32],68.3 million
29,意大利語,印歐語系,羅曼語族,64.8 million,3.1 million[33],67.9 million
30,西頻渣別文,印歐語系,印度-雅利安語支,N/A,N/A[34],66.4 million
,（排丟東頻渣別文）,,,,,
31,古乍拉地語,印歐語系,印度-雅利安語支,57.0 million,5.0 million[35],62.0 million
32,泰語,壯侗語系,壯傣語支,20.7 million,40.0 million[36],60.7 million
33,卡納達語,南印語系,南部語族,43.6 million,15.0 million[37],58.6 million
34,阿姆哈拉語,亞非語系,閃語族,32.4 million,25.1 million[38],57.5 million
35,菩闍補里語,印歐語系,印度-雅利安語支,52.3 million,0.2 million[39],52.5 million
36,東頻渣別語,印歐語系,印度-雅利安語支,48.1 million,3.6 million[40],51.7 million
,（排丟西頻渣別文）,,,,,
37,閩南語,漢藏語系,漢語族,49.3 million,0.4 million[41],49.7 million
,（包有泉漳福建話（Hokkien））,,,,,
38,晉語,漢藏語系,漢語族,N/A,N/A[42],47.1 million
40,客家語,漢藏語系,漢語族,43.8 million,0.2 million[44],44.1 million
39,優魯巴語,尼日爾-剛果語系,大西洋-剛果語族,43.6 million,2.0 million[43],45.6 million
41,緬甸語,漢藏語系,藏緬語族,33.0 million,10.0 million[45],43.0 million
42,蘇丹口語阿拉伯語,亞非語系,閃語族,33.3 million,9.0 million[46],42.3 million
43,波蘭語,印歐語系,波羅的-斯拉夫語族,40.0 million,0.7 million[47],40.6 million
44,阿爾及利亞口語阿拉伯語,亞非語系,閃語族,34.7 million,5.6 million[48],40.3 million
45,林加拉語,尼日爾-剛果語系,大西洋-剛果語族,20.3 million,20.0 million,40.3 million
