日期,直播收視,華東地區,華南地區,華中地區,華北地區,西北地區,西南地區,東北地區
8月6日,0.74%,0.72%,0.46%,0.54%,0.85%,1.31%,1.18%,0.63%
8月7日,0.94%,0.93%,0.57%,0.71%,1.10%,1.68%,1.46%,0.83%
8月8日,0.79%,0.76%,0.49%,0.58%,0.91%,1.47%,1.27%,0.67%
8月9日,0.80%,0.76%,0.52%,0.60%,0.92%,1.45%,1.25%,0.65%
8月10日,0.83%,0.80%,0.54%,0.62%,0.93%,1.52%,1.29%,0.68%
8月11日,0.79%,0.77%,0.51%,0.60%,0.91%,1.45%,1.22%,0.65%
8月12日,0.88%,0.82%,0.57%,0.67%,0.98%,1.62%,1.44%,0.68%
8月13日,0.87%,0.86%,0.56%,0.66%,0.96%,1.55%,1.38%,0.68%
8月14日,0.76%,0.72%,0.49%,0.55%,0.83%,1.44%,1.26%,0.60%
8月15日,0.69%,0.65%,0.47%,0.50%,0.75%,1.30%,1.13%,0.54%
8月16日,0.69%,0.64%,0.46%,0.49%,0.77%,1.25%,1.15%,0.54%
8月17日,0.71%,0.67%,0.48%,0.51%,0.79%,1.32%,1.16%,0.58%
8月18日,0.75%,0.71%,0.48%,0.54%,0.87%,1.39%,1.21%,0.59%
8月19日,0.80%,0.76%,0.54%,0.57%,0.90%,1.50%,1.31%,0.62%
8月20日,0.92%,0.88%,0.57%,0.70%,1.09%,1.65%,1.46%,0.77%
8月21日,0.82%,0.77%,0.55%,0.59%,0.93%,1.51%,1.36%,0.63%
8月22日,0.90%,0.84%,0.58%,0.65%,1.04%,1.60%,1.51%,0.74%
8月23日,0.91%,0.86%,0.62%,0.65%,0.99%,1.67%,1.51%,0.72%
8月24日,0.91%,0.85%,0.61%,0.64%,1.03%,1.67%,1.48%,0.69%
8月25日,0.93%,0.87%,0.61%,0.67%,1.03%,1.68%,1.55%,0.69%
8月26日,1.01%,0.94%,0.67%,0.75%,1.13%,1.81%,1.66%,0.76%
